Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
STUD1086,25,Prefer not to say,Postgraduate,Business,No,8,1,No,Biology,Intermediate,4,Yes,5,Medium,No,Neutral,No,Europe,No
STUD1087,15,Prefer not to say,High School,Medicine,No,6,3,No,History,Beginner,2,No,2,Medium,Yes,Negative,No,Oceania,No
STUD1088,27,Female,High School,Engineering,Yes,10,3,Yes,Physics,Beginner,2,No,5,Low,Yes,Positive,Yes,Asia,Yes
STUD1089,24,Prefer not to say,High School,Business,Yes,2,2,Yes,Computer Science,Beginner,2,No,4,Medium,Yes,Neutral,No,Europe,Yes
STUD1090,21,Non-binary,High School,Arts,Yes,3,5,No,Computer Science,Beginner,3,Yes,4,Medium,No,Positive,No,Europe,Yes
STUD1091,14,Male,Postgraduate,Law,Yes,4,4,No,Economics,Beginner,1,No,4,High,Yes,Neutral,No,Africa,No
STUD1092,27,Female,Postgraduate,Arts,Yes,8,2,Yes,Math,Intermediate,5,Yes,1,High,No,Negative,Yes,Oceania,Yes
STUD1093,18,Male,Undergraduate,Medicine,No,7,2,No,Economics,Beginner,5,No,1,Low,Yes,Negative,No,Asia,Yes
STUD1094,24,Female,High School,Engineering,Yes,5,1,Yes,Economics,Advanced,3,No,4,High,Yes,Neutral,Yes,Asia,Yes
STUD1095,21,Male,Undergraduate,Education,No,5,1,Yes,History,Intermediate,5,No,5,High,Yes,Neutral,No,North America,Yes
STUD1096,27,Prefer not to say,Postgraduate,Arts,No,3,1,No,Biology,Advanced,3,Yes,5,High,Yes,Positive,No,Asia,Yes
STUD1097,26,Female,Undergraduate,Law,Yes,3,3,No,Art,Intermediate,3,No,2,High,Yes,Negative,Yes,South America,Yes
STUD1098,22,Female,Postgraduate,Engineering,No,4,1,Yes,Math,Intermediate,2,Yes,3,Low,Yes,Negative,Yes,Africa,Yes
STUD1099,22,Male,High School,Engineering,Yes,9,3,No,History,Beginner,4,Yes,1,High,No,Positive,Yes,South America,No
STUD1100,14,Non-binary,Postgraduate,Law,Yes,7,5,No,Economics,Intermediate,1,No,1,High,Yes,Positive,No,Asia,No
STUD1101,25,Prefer not to say,High School,Engineering,Yes,4,4,No,Biology,Intermediate,1,No,5,High,Yes,Negative,Yes,Africa,No
STUD1102,21,Male,Undergraduate,Engineering,No,8,1,No,Physics,Advanced,1,Yes,5,Medium,Yes,Negative,Yes,Oceania,Yes
STUD1103,16,Prefer not to say,Postgraduate,Engineering,No,1,5,Yes,Physics,Intermediate,1,No,4,High,Yes,Neutral,No,North America,No
STUD1104,19,Non-binary,High School,Arts,No,9,5,Yes,Art,Intermediate,1,Yes,3,High,Yes,Negative,No,North America,No
STUD1105,26,Non-binary,Undergraduate,Education,No,0,5,Yes,Economics,Advanced,2,No,5,Low,No,Positive,Yes,Africa,No
STUD1106,16,Prefer not to say,Postgraduate,Medicine,No,6,3,No,Art,Beginner,1,Yes,5,High,Yes,Neutral,Yes,Africa,Yes
STUD1107,25,Prefer not to say,Undergraduate,Medicine,Yes,0,4,Yes,Computer Science,Beginner,1,Yes,4,Medium,No,Neutral,Yes,North America,Yes
STUD1108,13,Prefer not to say,Postgraduate,Engineering,Yes,2,1,Yes,Computer Science,Beginner,2,Yes,3,Low,Yes,Positive,Yes,Oceania,Yes
STUD1109,27,Prefer not to say,Undergraduate,Arts,No,6,2,Yes,Biology,Beginner,5,Yes,5,High,Yes,Negative,Yes,Africa,Yes
STUD1110,17,Male,Postgraduate,Law,Yes,1,5,Yes,Physics,Advanced,3,No,4,Low,No,Negative,No,South America,Yes
STUD1111,20,Male,High School,Education,No,8,3,No,Art,Advanced,2,No,4,Low,No,Negative,Yes,Asia,Yes
STUD1112,30,Female,Undergraduate,Medicine,Yes,9,3,Yes,History,Beginner,4,Yes,5,Low,Yes,Positive,Yes,Europe,No
STUD1113,26,Non-binary,Undergraduate,Engineering,No,7,4,No,Art,Beginner,4,No,2,High,No,Neutral,No,Asia,No
STUD1114,15,Non-binary,High School,Medicine,No,3,1,Yes,Math,Intermediate,1,Yes,5,Medium,Yes,Negative,No,North America,Yes
STUD1115,28,Male,Postgraduate,Engineering,No,1,4,Yes,Biology,Intermediate,3,No,1,Low,Yes,Neutral,Yes,Europe,Yes
STUD1116,25,Female,Undergraduate,Arts,No,4,1,Yes,Math,Intermediate,1,No,4,Medium,Yes,Negative,No,Oceania,No
STUD1117,25,Prefer not to say,Postgraduate,Business,No,10,3,Yes,Physics,Advanced,2,Yes,5,Low,No,Positive,No,North America,No
STUD1118,20,Prefer not to say,Undergraduate,Science,No,2,2,No,Math,Advanced,2,Yes,4,Medium,No,Neutral,Yes,South America,Yes
STUD1119,17,Male,Undergraduate,Science,No,4,1,No,Biology,Beginner,5,No,4,Medium,No,Neutral,Yes,Oceania,No
STUD1120,19,Prefer not to say,Undergraduate,Medicine,No,9,5,No,Math,Intermediate,3,No,3,Medium,Yes,Positive,No,Oceania,Yes
STUD1121,25,Non-binary,Postgraduate,Business,Yes,2,4,Yes,History,Advanced,5,Yes,4,Low,No,Negative,Yes,North America,Yes
STUD1122,30,Non-binary,Postgraduate,Medicine,Yes,9,1,No,Math,Beginner,4,No,5,High,No,Negative,Yes,South America,Yes
STUD1123,16,Prefer not to say,High School,Science,Yes,2,3,No,Art,Beginner,2,No,2,High,Yes,Negative,Yes,North America,Yes
STUD1124,23,Non-binary,High School,Arts,No,9,3,No,Economics,Intermediate,2,Yes,4,High,Yes,Neutral,No,South America,No
STUD1125,27,Prefer not to say,Postgraduate,Science,Yes,7,3,Yes,Biology,Intermediate,4,Yes,5,Low,Yes,Positive,No,North America,No
STUD1126,28,Non-binary,High School,Medicine,Yes,3,3,Yes,History,Beginner,2,Yes,1,High,No,Neutral,Yes,Asia,Yes
STUD1127,14,Non-binary,Postgraduate,Medicine,No,3,1,No,History,Intermediate,2,No,4,High,Yes,Negative,Yes,South America,No
STUD1128,15,Female,Postgraduate,Education,Yes,8,1,No,Art,Advanced,3,No,5,High,No,Positive,No,Asia,Yes
STUD1129,20,Prefer not to say,High School,Law,Yes,4,1,No,Math,Intermediate,3,Yes,1,Low,Yes,Negative,Yes,South America,Yes
STUD1130,25,Non-binary,Undergraduate,Science,Yes,8,5,No,Economics,Beginner,2,Yes,4,Low,Yes,Neutral,No,North America,No
STUD1131,30,Prefer not to say,Postgraduate,Science,No,4,5,No,Math,Intermediate,2,Yes,4,Medium,Yes,Positive,Yes,Europe,No
STUD1132,19,Female,Postgraduate,Science,No,4,2,Yes,Math,Beginner,3,Yes,1,Medium,No,Neutral,Yes,Asia,Yes
STUD1133,15,Non-binary,Undergraduate,Arts,No,10,2,No,History,Intermediate,4,Yes,4,High,Yes,Negative,No,Asia,No
STUD1134,21,Prefer not to say,Postgraduate,Medicine,Yes,8,5,No,Biology,Beginner,3,No,3,Medium,No,Neutral,No,Europe,Yes
STUD1135,15,Non-binary,Postgraduate,Engineering,No,9,2,No,Computer Science,Advanced,3,Yes,5,Medium,No,Negative,No,Europe,Yes
STUD1136,23,Female,Postgraduate,Engineering,Yes,0,1,Yes,History,Advanced,4,No,3,Low,No,Positive,Yes,Europe,Yes
STUD1137,21,Female,High School,Law,No,7,4,Yes,Computer Science,Advanced,2,Yes,4,Medium,Yes,Neutral,No,Africa,No
STUD1138,21,Non-binary,Undergraduate,Science,No,1,4,Yes,Physics,Advanced,5,No,2,Low,No,Positive,Yes,North America,Yes
STUD1139,13,Female,Postgraduate,Education,No,8,2,Yes,Physics,Advanced,4,Yes,2,Medium,Yes,Negative,No,Asia,No
STUD1140,15,Female,High School,Education,Yes,4,2,Yes,History,Intermediate,5,No,3,Low,Yes,Negative,Yes,Oceania,No
STUD1141,29,Male,Postgraduate,Business,Yes,4,1,No,Math,Intermediate,2,No,5,Low,No,Neutral,No,South America,No
STUD1142,21,Non-binary,High School,Law,Yes,6,3,Yes,History,Beginner,5,No,5,High,Yes,Negative,Yes,Europe,Yes
STUD1143,27,Male,High School,Medicine,No,6,2,Yes,Economics,Advanced,4,Yes,2,Medium,No,Positive,No,North America,No
STUD1144,20,Female,Postgraduate,Science,No,0,1,No,Biology,Intermediate,3,Yes,5,High,Yes,Negative,Yes,Africa,Yes
STUD1145,28,Non-binary,High School,Engineering,No,6,2,No,Math,Beginner,1,No,1,Low,No,Positive,No,Africa,No
STUD1146,23,Prefer not to say,High School,Medicine,Yes,6,2,Yes,Computer Science,Intermediate,5,No,4,High,No,Negative,Yes,Oceania,Yes
STUD1147,29,Female,Postgraduate,Arts,Yes,1,5,Yes,Computer Science,Intermediate,1,No,1,Low,No,Negative,No,Europe,No
STUD1148,23,Prefer not to say,Postgraduate,Engineering,No,4,3,Yes,Math,Advanced,4,Yes,5,Low,Yes,Neutral,Yes,Africa,No
STUD1149,13,Female,Postgraduate,Science,Yes,1,2,Yes,Economics,Advanced,4,Yes,3,High,Yes,Positive,No,South America,No
STUD1150,19,Male,Undergraduate,Business,Yes,2,4,Yes,Biology,Beginner,5,No,1,Medium,Yes,Neutral,Yes,Africa,No
STUD1151,23,Non-binary,Undergraduate,Medicine,Yes,10,4,Yes,Computer Science,Beginner,1,Yes,4,High,Yes,Neutral,No,Asia,No
STUD1152,13,Non-binary,Undergraduate,Science,No,2,1,Yes,Art,Beginner,5,Yes,1,High,Yes,Neutral,Yes,North America,No
STUD1153,24,Prefer not to say,Undergraduate,Arts,No,2,2,Yes,History,Beginner,5,No,5,Medium,Yes,Positive,No,North America,No
STUD1154,28,Male,Postgraduate,Engineering,Yes,6,2,No,History,Advanced,1,Yes,3,Medium,Yes,Negative,No,Africa,Yes
STUD1155,27,Prefer not to say,High School,Science,No,4,1,Yes,Computer Science,Advanced,2,No,5,High,No,Neutral,Yes,Asia,Yes
STUD1156,17,Female,Undergraduate,Law,No,10,3,No,Physics,Advanced,2,No,3,High,No,Negative,No,Oceania,Yes
STUD1157,28,Female,Undergraduate,Law,Yes,10,1,Yes,Physics,Intermediate,1,Yes,1,High,Yes,Positive,Yes,Oceania,No
STUD1158,13,Non-binary,High School,Law,No,3,3,No,Math,Advanced,2,No,1,Medium,No,Positive,No,Oceania,Yes
STUD1159,29,Female,Undergraduate,Business,No,9,2,No,History,Intermediate,4,Yes,2,Medium,Yes,Positive,Yes,South America,No
STUD1160,24,Non-binary,Undergraduate,Law,Yes,9,4,No,History,Advanced,2,Yes,1,Low,Yes,Neutral,Yes,Europe,No
STUD1161,21,Prefer not to say,Undergraduate,Education,No,2,5,No,Physics,Beginner,2,Yes,3,Medium,Yes,Neutral,No,Asia,Yes
STUD1162,25,Male,Undergraduate,Education,Yes,2,2,Yes,Computer Science,Intermediate,1,No,3,Low,Yes,Positive,No,Africa,No
STUD1163,13,Prefer not to say,Postgraduate,Medicine,Yes,0,3,No,Art,Beginner,5,No,2,Medium,No,Negative,Yes,North America,Yes
STUD1164,15,Male,Postgraduate,Business,Yes,5,3,Yes,Biology,Intermediate,4,Yes,1,Low,Yes,Negative,Yes,Africa,Yes
STUD1165,20,Female,High School,Arts,Yes,9,2,Yes,History,Beginner,4,Yes,1,Low,Yes,Positive,No,Oceania,Yes
STUD1166,21,Female,Postgraduate,Education,No,10,5,Yes,Computer Science,Advanced,1,Yes,1,Medium,No,Neutral,No,Africa,Yes
STUD1167,24,Female,High School,Science,No,10,3,Yes,Computer Science,Intermediate,1,Yes,5,Low,No,Neutral,Yes,North America,Yes
STUD1168,12,Male,Undergraduate,Arts,No,6,1,Yes,Computer Science,Intermediate,5,No,3,Low,Yes,Neutral,Yes,North America,No
STUD1169,23,Male,High School,Medicine,Yes,9,5,No,Economics,Advanced,4,Yes,1,Medium,Yes,Negative,Yes,Europe,No
STUD1170,21,Prefer not to say,Undergraduate,Science,Yes,5,4,Yes,History,Intermediate,3,Yes,3,Medium,Yes,Negative,Yes,Oceania,No
STUD1171,18,Female,High School,Business,Yes,2,2,Yes,History,Beginner,3,Yes,4,High,Yes,Neutral,Yes,Asia,Yes
STUD1172,21,Female,High School,Arts,Yes,5,3,Yes,Math,Beginner,3,Yes,5,High,No,Negative,No,South America,No
STUD1173,20,Prefer not to say,Undergraduate,Medicine,No,10,5,No,Economics,Advanced,2,No,1,Medium,No,Positive,No,Africa,Yes
STUD1174,14,Prefer not to say,High School,Education,Yes,1,4,Yes,Art,Intermediate,5,No,5,Low,Yes,Positive,No,South America,No
STUD1175,21,Male,Postgraduate,Science,Yes,4,1,No,Math,Intermediate,1,No,1,Low,No,Positive,Yes,Africa,Yes
STUD1176,20,Prefer not to say,Postgraduate,Science,Yes,3,2,No,Economics,Beginner,3,Yes,3,Medium,No,Negative,Yes,Africa,Yes
STUD1177,15,Male,Undergraduate,Business,Yes,10,5,No,Biology,Beginner,3,Yes,3,High,Yes,Neutral,No,South America,No
STUD1178,25,Non-binary,Undergraduate,Law,No,6,2,No,Biology,Intermediate,2,Yes,1,High,Yes,Positive,Yes,Africa,Yes
STUD1179,16,Non-binary,Undergraduate,Business,Yes,1,3,No,Biology,Beginner,4,No,2,High,Yes,Positive,Yes,Africa,No
STUD1180,29,Non-binary,Postgraduate,Medicine,No,10,1,No,Physics,Beginner,3,No,2,Low,No,Neutral,No,Asia,Yes
STUD1181,26,Male,Undergraduate,Law,Yes,7,2,No,Math,Beginner,1,Yes,5,Medium,Yes,Negative,Yes,Europe,No
STUD1182,23,Prefer not to say,High School,Science,No,7,1,Yes,Math,Advanced,4,Yes,1,High,No,Neutral,Yes,North America,Yes
STUD1183,17,Non-binary,Postgraduate,Medicine,No,10,1,Yes,Economics,Intermediate,2,Yes,1,High,No,Positive,No,South America,No
STUD1184,20,Non-binary,High School,Business,Yes,9,2,Yes,Physics,Beginner,3,No,4,Low,Yes,Negative,No,Oceania,No
STUD1185,27,Non-binary,Undergraduate,Business,Yes,6,1,Yes,Physics,Beginner,4,Yes,5,Low,Yes,Positive,Yes,South America,Yes
STUD1186,12,Non-binary,Postgraduate,Business,Yes,2,4,No,Art,Beginner,5,No,4,Low,No,Positive,Yes,North America,Yes
STUD1187,22,Female,Undergraduate,Business,No,5,2,No,Computer Science,Beginner,1,Yes,1,Medium,Yes,Neutral,No,Europe,No
STUD1188,25,Non-binary,Undergraduate,Arts,Yes,5,1,No,Biology,Advanced,4,Yes,3,Medium,Yes,Positive,Yes,Asia,No
STUD1189,19,Non-binary,Undergraduate,Engineering,No,5,3,No,Math,Beginner,1,Yes,4,High,Yes,Neutral,Yes,Oceania,Yes
STUD1190,26,Female,Undergraduate,Medicine,No,3,5,No,History,Intermediate,3,No,3,High,No,Positive,No,North America,No
STUD1191,15,Prefer not to say,Postgraduate,Law,Yes,7,5,No,Economics,Advanced,5,Yes,2,Medium,No,Neutral,No,Europe,No
STUD1192,20,Non-binary,Postgraduate,Business,Yes,6,4,No,Math,Advanced,2,Yes,5,High,No,Positive,No,Oceania,Yes
STUD1193,26,Prefer not to say,Postgraduate,Business,No,3,5,Yes,Biology,Beginner,3,No,1,Medium,No,Negative,No,North America,Yes
STUD1194,23,Prefer not to say,Undergraduate,Law,Yes,10,3,No,Computer Science,Beginner,2,No,4,Medium,Yes,Positive,Yes,Asia,Yes
STUD1195,23,Female,Undergraduate,Arts,Yes,10,3,No,Biology,Intermediate,1,No,5,Medium,No,Neutral,Yes,North America,No
STUD1196,17,Non-binary,Postgraduate,Engineering,Yes,8,4,No,History,Advanced,3,Yes,2,High,Yes,Positive,Yes,Africa,Yes
STUD1197,18,Female,Undergraduate,Business,Yes,8,1,Yes,Computer Science,Beginner,2,No,1,Low,Yes,Neutral,No,Europe,Yes
STUD1198,21,Non-binary,Postgraduate,Law,No,0,4,Yes,Physics,Advanced,5,No,5,High,Yes,Negative,Yes,Europe,Yes
STUD1199,19,Female,Undergraduate,Engineering,No,0,5,No,Physics,Beginner,1,Yes,4,High,No,Neutral,No,North America,No
STUD1200,23,Female,High School,Science,No,3,3,Yes,Computer Science,Advanced,3,Yes,4,High,Yes,Neutral,Yes,North America,No
STUD1201,26,Male,Undergraduate,Science,No,3,2,No,History,Advanced,2,No,5,High,Yes,Positive,Yes,Africa,No
STUD1202,22,Prefer not to say,High School,Business,No,9,5,Yes,Economics,Advanced,4,Yes,4,Medium,No,Negative,No,Europe,No
STUD1203,15,Female,High School,Arts,Yes,9,2,Yes,Physics,Advanced,5,Yes,2,High,Yes,Neutral,No,Oceania,Yes
STUD1204,16,Non-binary,Undergraduate,Science,No,10,4,Yes,Physics,Intermediate,4,No,1,High,Yes,Neutral,Yes,Asia,No
STUD1205,25,Prefer not to say,Postgraduate,Business,No,0,1,Yes,Physics,Beginner,4,No,2,Low,Yes,Neutral,Yes,Africa,Yes
STUD1206,20,Female,High School,Business,No,5,4,Yes,Economics,Beginner,5,Yes,4,Low,Yes,Neutral,No,North America,No
STUD1207,13,Non-binary,Postgraduate,Science,No,10,3,No,Art,Advanced,3,Yes,3,Low,No,Neutral,Yes,Africa,No
STUD1208,16,Prefer not to say,Postgraduate,Education,Yes,9,2,Yes,Math,Advanced,1,Yes,4,Medium,No,Neutral,Yes,Africa,Yes
STUD1209,26,Male,High School,Education,Yes,0,1,Yes,Art,Beginner,5,No,4,High,No,Neutral,Yes,Europe,Yes
STUD1210,21,Male,High School,Business,No,10,2,Yes,History,Beginner,2,No,1,Low,Yes,Positive,Yes,Asia,No
STUD1211,27,Male,High School,Law,Yes,6,5,No,History,Advanced,3,No,4,Low,Yes,Positive,No,North America,No
STUD1212,26,Non-binary,High School,Law,Yes,7,4,Yes,History,Advanced,5,No,5,High,Yes,Positive,Yes,Europe,No
STUD1213,12,Male,Undergraduate,Engineering,Yes,1,3,No,History,Beginner,4,No,1,High,Yes,Negative,No,Oceania,No
STUD1214,17,Prefer not to say,High School,Education,No,7,3,No,Computer Science,Advanced,2,No,5,High,Yes,Negative,Yes,North America,Yes
STUD1215,20,Male,Undergraduate,Medicine,Yes,1,3,Yes,Art,Intermediate,5,No,5,High,No,Negative,Yes,Oceania,No
STUD1216,26,Prefer not to say,Undergraduate,Business,Yes,7,5,Yes,History,Intermediate,5,Yes,3,High,Yes,Neutral,Yes,Africa,No
STUD1217,22,Non-binary,Undergraduate,Engineering,Yes,5,4,No,Math,Beginner,2,Yes,3,High,No,Neutral,No,Oceania,Yes
STUD1218,21,Male,High School,Business,Yes,5,1,No,Economics,Beginner,2,No,3,Low,No,Negative,No,Europe,No
STUD1219,13,Female,Undergraduate,Law,Yes,5,4,Yes,Economics,Advanced,3,Yes,2,High,Yes,Neutral,Yes,North America,No
STUD1220,26,Male,High School,Law,Yes,4,2,No,Economics,Intermediate,3,No,5,High,No,Neutral,No,Oceania,No
STUD1221,24,Prefer not to say,High School,Science,No,0,2,No,Physics,Intermediate,4,Yes,2,Medium,Yes,Neutral,Yes,Asia,No
STUD1222,25,Non-binary,Postgraduate,Medicine,Yes,2,1,Yes,Biology,Advanced,4,No,4,Medium,Yes,Neutral,No,Europe,No
STUD1223,14,Prefer not to say,Postgraduate,Medicine,No,8,3,No,Math,Advanced,2,Yes,1,Low,No,Neutral,No,South America,Yes
STUD1224,16,Non-binary,Undergraduate,Science,No,10,4,Yes,Physics,Intermediate,3,Yes,2,Medium,Yes,Positive,No,Oceania,Yes
STUD1225,30,Male,Postgraduate,Medicine,No,2,4,No,Math,Intermediate,2,No,3,Low,Yes,Positive,No,Oceania,Yes
STUD1226,21,Prefer not to say,Undergraduate,Science,No,3,1,Yes,Art,Advanced,5,No,2,High,Yes,Positive,Yes,Oceania,No
STUD1227,30,Non-binary,Undergraduate,Arts,Yes,2,1,Yes,Physics,Beginner,3,Yes,3,Medium,No,Neutral,No,Europe,Yes
STUD1228,16,Male,Undergraduate,Medicine,No,10,5,No,Economics,Beginner,4,Yes,1,Low,Yes,Positive,No,Africa,Yes
STUD1229,21,Male,Undergraduate,Education,No,3,4,Yes,History,Intermediate,4,Yes,2,Medium,Yes,Neutral,No,Asia,No
STUD1230,22,Non-binary,High School,Medicine,No,5,4,No,Computer Science,Advanced,2,No,4,High,No,Negative,Yes,Europe,No
STUD1231,14,Female,Postgraduate,Education,No,9,4,Yes,Art,Intermediate,2,No,4,Low,Yes,Positive,Yes,South America,No
STUD1232,28,Female,Postgraduate,Education,No,4,5,Yes,Math,Advanced,2,Yes,4,Low,Yes,Positive,No,North America,Yes
STUD1233,26,Non-binary,Postgraduate,Law,No,10,5,Yes,Biology,Beginner,2,Yes,4,Medium,No,Neutral,Yes,Oceania,Yes
STUD1234,12,Prefer not to say,High School,Medicine,Yes,9,1,No,History,Beginner,5,Yes,1,Medium,Yes,Negative,No,Oceania,No
STUD1235,28,Female,High School,Business,Yes,2,4,Yes,Computer Science,Beginner,1,Yes,5,High,No,Negative,Yes,Asia,Yes
STUD1236,23,Prefer not to say,High School,Law,Yes,6,3,Yes,Physics,Advanced,1,No,1,Medium,No,Negative,Yes,Europe,Yes
STUD1237,23,Prefer not to say,High School,Medicine,Yes,8,3,No,Biology,Advanced,5,No,2,High,Yes,Neutral,Yes,Asia,No
STUD1238,25,Male,Undergraduate,Law,No,8,4,No,Biology,Beginner,3,No,5,Medium,Yes,Negative,Yes,North America,Yes
STUD1239,26,Prefer not to say,Postgraduate,Science,No,8,3,No,Math,Intermediate,5,No,4,High,Yes,Negative,Yes,South America,No
STUD1240,27,Female,Undergraduate,Education,No,2,2,No,Physics,Intermediate,4,Yes,1,Low,No,Neutral,Yes,Asia,No
STUD1241,24,Female,Postgraduate,Arts,No,1,1,Yes,Computer Science,Advanced,1,No,1,Low,Yes,Negative,No,South America,Yes
STUD1242,12,Male,High School,Science,Yes,7,3,No,History,Beginner,4,No,4,Low,Yes,Positive,No,South America,Yes
STUD1243,22,Prefer not to say,Undergraduate,Business,No,4,3,Yes,Art,Advanced,1,No,5,Medium,No,Positive,Yes,Oceania,No
STUD1244,15,Male,Undergraduate,Medicine,Yes,6,5,Yes,Biology,Advanced,1,No,4,Medium,Yes,Neutral,Yes,Europe,Yes
STUD1245,15,Male,High School,Engineering,Yes,9,2,No,Math,Intermediate,4,Yes,3,Medium,No,Neutral,No,North America,No
STUD1246,25,Female,Undergraduate,Medicine,No,7,4,No,Biology,Intermediate,3,No,1,Low,Yes,Positive,Yes,Africa,No
STUD1247,24,Non-binary,Undergraduate,Engineering,No,4,3,Yes,Art,Advanced,3,Yes,4,Medium,No,Positive,No,South America,No
STUD1248,26,Prefer not to say,Postgraduate,Medicine,No,10,3,Yes,Math,Advanced,3,Yes,2,High,Yes,Negative,No,Europe,No
STUD1249,17,Female,Postgraduate,Business,No,9,3,Yes,Biology,Intermediate,5,Yes,3,Low,Yes,Neutral,No,Asia,No
STUD1250,14,Female,High School,Medicine,Yes,1,2,Yes,Math,Beginner,4,Yes,5,Low,No,Positive,Yes,North America,No
STUD1251,24,Prefer not to say,Postgraduate,Engineering,Yes,9,4,No,Biology,Intermediate,4,Yes,4,Low,Yes,Negative,Yes,South America,Yes
STUD1252,21,Male,Undergraduate,Education,Yes,3,5,No,Art,Intermediate,2,No,1,High,No,Neutral,No,Oceania,Yes
STUD1253,26,Male,Postgraduate,Education,No,4,4,No,History,Advanced,1,Yes,2,High,Yes,Negative,No,Africa,No
STUD1254,29,Female,Postgraduate,Engineering,Yes,1,4,Yes,History,Intermediate,4,No,1,High,Yes,Neutral,Yes,South America,No
STUD1255,12,Prefer not to say,Undergraduate,Medicine,No,7,2,Yes,Computer Science,Beginner,3,No,4,Low,Yes,Negative,Yes,Asia,Yes
STUD1256,12,Male,Postgraduate,Education,Yes,6,4,No,Art,Beginner,1,Yes,1,High,Yes,Positive,No,Oceania,No
STUD1257,28,Male,Undergraduate,Engineering,Yes,1,3,No,Math,Advanced,2,No,3,Medium,Yes,Positive,Yes,Africa,Yes
STUD1258,30,Prefer not to say,High School,Education,Yes,5,3,No,Computer Science,Advanced,2,No,5,Medium,Yes,Positive,No,North America,Yes
STUD1259,28,Male,Undergraduate,Law,No,1,3,Yes,History,Beginner,3,No,1,Low,Yes,Negative,Yes,Europe,Yes
STUD1260,12,Female,Postgraduate,Business,Yes,8,3,No,Computer Science,Beginner,4,Yes,3,Low,No,Positive,No,Asia,No
STUD1261,14,Male,Undergraduate,Arts,Yes,2,5,No,History,Intermediate,2,Yes,2,High,Yes,Negative,No,South America,Yes
STUD1262,25,Prefer not to say,High School,Engineering,No,7,1,No,Math,Advanced,3,Yes,5,Medium,No,Positive,Yes,Africa,Yes
STUD1263,16,Prefer not to say,High School,Engineering,No,4,4,No,History,Beginner,5,Yes,3,High,Yes,Positive,Yes,Asia,No
STUD1264,18,Female,Postgraduate,Engineering,Yes,9,2,Yes,Math,Beginner,5,No,1,High,No,Positive,No,Europe,Yes
STUD1265,15,Prefer not to say,High School,Business,No,10,1,No,Economics,Beginner,3,No,1,High,No,Neutral,Yes,Africa,Yes
STUD1266,12,Non-binary,Undergraduate,Education,Yes,5,1,No,Physics,Intermediate,3,Yes,5,High,Yes,Negative,No,North America,Yes
STUD1267,20,Male,Postgraduate,Engineering,No,4,1,Yes,Economics,Intermediate,4,No,1,Low,Yes,Positive,No,Europe,No
STUD1268,29,Male,Postgraduate,Science,Yes,7,3,Yes,History,Beginner,4,Yes,5,Low,No,Neutral,No,Europe,Yes
STUD1269,16,Prefer not to say,High School,Education,Yes,3,4,No,Economics,Intermediate,5,No,1,High,Yes,Neutral,No,Europe,Yes
STUD1270,25,Prefer not to say,Undergraduate,Arts,No,1,2,No,Art,Intermediate,4,No,4,High,Yes,Negative,Yes,Oceania,Yes
STUD1271,30,Female,Postgraduate,Arts,Yes,7,1,Yes,Math,Intermediate,1,Yes,1,High,No,Positive,Yes,Africa,Yes
STUD1272,15,Non-binary,Undergraduate,Medicine,No,5,4,Yes,Art,Intermediate,4,Yes,5,Low,Yes,Neutral,No,Africa,No
STUD1273,28,Non-binary,High School,Engineering,No,2,4,No,Physics,Advanced,3,Yes,4,Medium,No,Positive,Yes,South America,No
STUD1274,23,Female,Undergraduate,Science,Yes,6,1,No,Art,Advanced,1,Yes,2,Low,Yes,Negative,Yes,Asia,Yes
STUD1275,24,Non-binary,High School,Science,No,4,3,Yes,Biology,Advanced,1,No,2,Low,No,Neutral,Yes,North America,Yes
STUD1276,13,Female,Postgraduate,Engineering,Yes,9,2,Yes,Physics,Intermediate,2,No,5,Medium,Yes,Negative,Yes,South America,Yes
STUD1277,28,Non-binary,Postgraduate,Education,Yes,7,3,Yes,Computer Science,Intermediate,5,No,1,High,No,Negative,Yes,Asia,No
STUD1278,19,Male,Postgraduate,Education,Yes,2,1,Yes,Math,Intermediate,4,Yes,4,High,No,Negative,Yes,Europe,No
STUD1279,26,Non-binary,Postgraduate,Education,No,8,3,Yes,Physics,Advanced,1,No,3,High,Yes,Neutral,Yes,Africa,No
STUD1280,13,Female,Undergraduate,Education,No,2,2,Yes,Math,Advanced,1,Yes,5,Low,No,Negative,No,Oceania,Yes
STUD1281,19,Prefer not to say,High School,Business,Yes,3,3,No,Art,Beginner,5,Yes,4,High,Yes,Neutral,Yes,Europe,Yes
STUD1282,22,Male,High School,Education,Yes,7,5,Yes,Art,Beginner,1,Yes,4,High,Yes,Neutral,No,Oceania,No
STUD1283,21,Non-binary,Undergraduate,Business,Yes,10,4,No,Physics,Intermediate,1,Yes,1,Low,Yes,Negative,Yes,South America,Yes
